AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,NewLeague
439,96,0,44,36,65,4,711,148,1,68,56,99,229,N
453,103,8,53,33,52,2,507,123,8,63,39,58,289,A
528,122,1,67,45,51,4,1716,403,12,211,146,155,209,A
633,210,6,91,56,59,6,3070,872,19,420,230,274,367,N
562,169,17,88,73,53,8,3181,841,61,450,342,373,351,A
281,76,3,42,25,20,8,2658,657,48,324,300,179,106,A
593,152,23,69,75,53,6,2765,686,133,369,384,321,315,A
687,213,10,91,65,27,4,1518,448,15,196,137,89,294,A
368,103,3,48,28,54,8,1897,493,9,207,162,198,209,N
263,70,1,26,23,30,4,888,220,9,83,82,86,81,N
642,211,14,107,59,52,5,2364,770,27,352,230,193,337,N
265,68,8,26,30,29,7,1337,339,32,135,163,128,92,A
559,141,2,48,61,73,8,3162,874,16,421,349,359,352,N
520,120,17,53,44,21,4,927,227,22,106,80,52,70,A
19,4,1,2,3,1,1,19,4,1,2,3,1,692,A
205,43,2,24,17,20,7,854,219,12,105,99,71,131,N
193,47,10,21,29,24,6,1136,256,42,129,139,106,299,A
213,61,4,17,22,3,17,4061,1145,83,488,491,244,178,A
510,147,10,56,52,53,7,2872,821,63,307,340,174,810,N
578,138,1,56,59,34,3,1399,357,7,149,161,87,133,N
441,113,5,76,52,76,5,1546,397,17,226,149,191,160,A
172,42,3,17,14,15,10,4086,1150,57,579,363,406,65,N
127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,167,N
279,69,4,35,31,32,4,1359,355,31,180,148,158,133,N
480,112,18,50,71,44,7,3031,771,110,338,406,239,94,N
600,139,0,94,29,60,2,1236,309,1,201,69,110,300,N
610,186,19,107,98,74,6,2728,753,69,399,366,286,1182,N
360,81,5,37,44,37,7,2268,566,41,279,257,246,170,N
387,124,1,67,27,36,7,1775,506,6,272,125,194,186,N
580,207,8,107,71,105,5,2778,978,32,474,322,417,121,A
408,117,11,66,41,34,1,408,117,11,66,41,34,942,N
593,172,22,82,100,57,1,593,172,22,82,100,57,1222,A
497,127,7,65,48,37,5,2703,806,32,379,311,138,325,N
492,136,5,76,50,94,12,5511,1511,39,897,451,875,313,A
475,126,3,61,43,52,6,1700,433,7,217,93,146,37,A
573,144,9,85,60,78,8,3198,857,97,470,420,332,1314,A
631,170,9,77,44,31,11,4908,1457,30,775,357,249,408,A
